Code,Category,Topic,Metric,Unit,Scope,Description
SGX-ENV-GHG-AET-TCO2E-TOT,Environmental,Greenhouse Gas Emissions,Absolute emissions (Total),tCO2e,Total,Total metric tons of carbon dioxide equivalent (tCO2e) of relevant GHG emissions.
SGX-ENV-GHG-AE1-TCO2E-SC1,Environmental,Greenhouse Gas Emissions,Absolute emissions (Scope 1),tCO2e,Scope 1,Direct GHG emissions from sources owned or controlled by the organization.
SGX-ENV-GHG-AE2-TCO2E-SC2,Environmental,Greenhouse Gas Emissions,Absolute emissions (Scope 2),tCO2e,Scope 2,Indirect GHG emissions from the generation of purchased energy.
SGX-ENV-GHG-AE3-TCO2E-SC3,Environmental,Greenhouse Gas Emissions,Absolute emissions (Scope 3),tCO2e,Scope 3,Other indirect GHG emissions that occur in the value chain of the organization.
SGX-ENV-GHG-EIT-TCO2EM-TOT,Environmental,Greenhouse Gas Emissions,Emission intensities (Total),tCO2e/organisation-specific metrics,Total,Total emission intensity ratios in GHG emissions (tCO2e) per unit of organisation-specific metrics.
SGX-ENV-GHG-EI1-TCO2EM-SC1,Environmental,Greenhouse Gas Emissions,Emission intensities (Scope 1),tCO2e/organisation-specific metrics,Scope 1,Scope 1 emission intensity ratios in GHG emissions (tCO2e) per unit of organisation-specific metrics.
SGX-ENV-GHG-EI2-TCO2EM-SC2,Environmental,Greenhouse Gas Emissions,Emission intensities (Scope 2),tCO2e/organisation-specific metrics,Scope 2,Scope 2 emission intensity ratios in GHG emissions (tCO2e) per unit of organisation-specific metrics.
SGX-ENV-GHG-EI3-TCO2EM-SC3,Environmental,Greenhouse Gas Emissions,Emission intensities (Scope 3),tCO2e/organisation-specific metrics,Scope 3,Scope 3 emission intensity ratios in GHG emissions (tCO2e) per unit of organisation-specific metrics.
SGX-ENV-ENC-TEC-MWHSGJ-TOT,Environmental,Energy Consumption,Total energy consumption,MWhs or GJ,Total,Total energy consumption within the organisation.
SGX-ENV-ENC-ECI-MWHSGJM-TOT,Environmental,Energy Consumption,Energy consumption intensity,MWhs or GJ/organisation-specific metrics,Total,Energy intensity ratios in energy consumed per unit of organisation-specific metrics.
SGX-ENV-WAC-TWC-MLM3-TOT,Environmental,Water Consumption,Total water consumption,ML or m_,Total,Total water consumption across all operations.
